item_type	item_sku	external_product_id	external_product_id_type	brand_name	feed_product_type	item_name	manufacturer	part_number	standard_price	quantity	migrated_shipping_group_name	main_image_url	product_description	fulfillment_center_id	package_length	package_width	package_height	package_weight	package_weight_unit_of_measure	package_length_unit_of_measure	
craft-supplies	IME178	728795254582	UPC	Dee's Distinctively	ArtSupplies	Dee's Distinctively Dies RUFUS	Dee's Distinctively	IME178	24	1	Migrated Template	https://www.ecstasycrafts.com/assets/images/IME178.jpg	Dee's Distinctively Dies are a unique line of dies created for  spectacular new dimensions in paper crafting. Compatible with most leading die-cutting machines.<br><br>dies<br>Size: 2.9" x 4.4	DEFAULT	undefined	undefined	undefined	0.03	OZ	IN	
craft-supplies	IME203	728795254827	UPC	Dee's Distinctively	ArtSupplies	Dee's Distinctively Dies MAX	Dee's Distinctively	IME203	11	0	Migrated Template	https://www.ecstasycrafts.com/assets/images/IME203.jpg	Dee's Distinctively Dies are a unique line of dies created for  spectacular new dimensions in paper crafting. Compatible with most leading die-cutting machines.<br><br>1 die<br><br>Size: 1.85" x 3.2"	DEFAULT	undefined	undefined	undefined	0.03	OZ	IN	
craft-supplies	IME216	728795254964	UPC	Dee's Distinctively	ArtSupplies	Dee's Distinctively Dies SNOWFLAKE SET 2	Dee's Distinctively	IME216	12.6	1	Migrated Template	https://www.ecstasycrafts.com/assets/images/IME216 SNOWFLAKE SET 2.jpg	Dee's Distinctively Dies SNOWFLAKE SET 2 <br><br>Dee's Distinctively Dies are a unique line of dies created for   spectacular new dimensions in paper crafting. Compatible with most  leading die-cutting machines.<br><br>3 dies<br><br>Size:<br>Smallest: 0.90" x 1.10"<br>Largest: 1.75" x 1.75"<br>	DEFAULT	undefined	undefined	undefined	0.03	OZ	IN	
craft-supplies	IME147	728795254278	UPC	Dee's Distinctively	ArtSupplies	Dee's Distinctively Dies CALLA LILY	Dee's Distinctively	IME147	32	0	Migrated Template	https://www.ecstasycrafts.com/assets/images/IME147.jpg	Dee's Distinctively Dies are a unique line of dies created for  spectacular new dimensions in paper crafting. Compatible with most leading die-cutting machines.<br><br>4 dies<br><br>Sizes: 1.60" x 2.50" to 2.25" X 4.30"	DEFAULT	undefined	undefined	undefined	0.03	OZ	IN	
craft-supplies	IME173	728795254537	UPC	Dee's Distinctively	ArtSupplies	Dee's Distinctively Dies ALASKAN CEDAR LG.	Dee's Distinctively	IME173	26	1	Migrated Template	https://www.ecstasycrafts.com/assets/images/IME173.jpg	Dee's Distinctively Dies are a unique line of dies created for  spectacular new dimensions in paper crafting. Compatible with most leading die-cutting machines.<br><br>6 dies to build your own Alaskan Cedar Tree<br><br>Sizes: 0.75" x 1.45" to 2.0" x 2.60"	DEFAULT	undefined	undefined	undefined	0.03	OZ	IN	
craft-supplies	IME198	728795254780	UPC	Dee's Distinctively	ArtSupplies	Dee's Distinctively Dies WHITE PINE BRANCH	Dee's Distinctively	IME198	18	0	Migrated Template	https://www.ecstasycrafts.com/assets/images/IME198.jpg	<div><br></div><div>Dee's Distinctively White Pine Branch Die. Can be combined with IME199 Pine Branches and IME 191 Pine Cones (both sold separately) to make the image on the left.</div><div><br></div>Dee's Distinctively Dies are a unique line of dies created for  spectacular new dimensions in paper crafting. Compatible with most leading die-cutting machines.<div><br><br>1 die<br><br>Size: 2.1" x  4.7' </div>	DEFAULT	undefined	undefined	undefined	0.03	OZ	IN	
craft-supplies	IME228	728795255077	UPC	Dee's Distinctively	ArtSupplies	Dee's Distinctively Dies - DRAGONFLY LG.	Dee's Distinctively	IME228	21	1	Migrated Template	https://www.ecstasycrafts.com/assets/images/IME228.jpg	Dee's Distinctively Dies - DRAGONFLY LG.<br><br>A larger-sized dragonfly that includes solid wings to layer behind the decorative wings in different colours. A great size to be a focal point on your card or layout.<br><br>Use with most leading die-cutting machines.<br><br>1 die cuts 3 shapes<br><br>Size: 3.98" x 2.59"<br>	DEFAULT	undefined	undefined	undefined	0.03	OZ	IN	
craft-supplies	IME142	728795254223	UPC	Dee's Distinctively	ArtSupplies	Dee's Distinctively Dies CEDAR SPRIG SM.	Dee's Distinctively	IME142	19	0	Migrated Template	https://www.ecstasycrafts.com/assets/images/IME142.jpg	Dee's Distinctively Dies are a unique line of dies created for  spectacular new dimensions in paper crafting. Compatible with most leading die-cutting machines.<br><br><br>4 sprig dies<br><br>Sizes: 1.45" X 1.75""	DEFAULT	undefined	undefined	undefined	0.03	OZ	IN	
craft-supplies	IME169	728795254490	UPC	Dee's Distinctively	ArtSupplies	Dee's Distinctively Dies MISTLETOE LG	Dee's Distinctively	IME169	30	1	Migrated Template	https://www.ecstasycrafts.com/assets/images/IME169.jpg	Dee's Distinctively Dies are a unique line of dies created for  spectacular new dimensions in paper crafting. Compatible with most leading die-cutting machines.<br><br>4&nbsp; dies to make your own mistletoe cluster.<br><br>Size: 0.25" x 0.25" to 2.25" x 3.6" <br><br><br>	DEFAULT	undefined	undefined	undefined	0.03	OZ	IN	
craft-supplies	IME193	728795254735	UPC	Dee's Distinctively	ArtSupplies	Dee's Distinctively Dies NUMBER SET	Dee's Distinctively	IME193	19	0	Migrated Template	https://www.ecstasycrafts.com/assets/images/IME193.jpg	Dee's Distinctively Dies are a unique line of dies created for  spectacular new dimensions in paper crafting. Compatible with most leading die-cutting machines.<br><br>1 die with all of the numbers on it, each number is approximately 1" tall.<br><br>Sizes: 4.8" x 2.17"	DEFAULT	undefined	undefined	undefined	0.03	OZ	IN	
